Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
HFC-236fa,8060.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-245fa,858.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-43-I0mee,1650.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoromethane (PFC-14),6630.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoroethane (PFC-116),11100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoropropane (PFC-218),8900.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorocyclobutane (PFC-318),9540.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorobutane (PFC-3-1-10),9200.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoropentane (PFC-4-1-12),8550.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorohexane (PFC-5-1-14),7910.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
PFC-9-1-18,7190.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorocyclopropane,9200.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Sulphur hexafluoride (SF6),23500.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-152,16.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-161,4.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-236cb,1210.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-236ea,1330.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-245ca,716.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-365mfc,804.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Nitrogen trifluoride,16100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401A,1130.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401B,1236.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401C,876.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R402A,2571.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R402B,2261.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R403A,3100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R403B,4457.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R404A,3943.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R405A,4821.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R406A,1780.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407A,1923.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407B,2547.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407C,1624.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407D,1487.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407E,1425.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407F,1674.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R408A,3257.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R409A,1485.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R409B,1474.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
